UTC Date & Time,Slip (%)
2021-08-28,7.22
2021-08-29,11.22
2021-08-30,9.83
2021-08-30,9.09
2021-09-17,18.57
2021-09-18,12.5
2021-09-19,9.09
2021-09-20,7.07
2021-09-21,4.62
2021-09-22,10.86
2021-09-23,13.95
2021-09-23,10.14
2021-09-26,13.33
2021-09-27,28.45
2021-09-28,28.32
2021-09-29,29.8
2021-09-30,31.71
2021-10-01,34
2021-10-02,29.94
2021-10-03,32
2021-10-03,-40
2021-10-06,20
2021-10-07,21.14
2021-10-08,20.77
2021-10-09,19.65
2021-11-06,6.85
2021-11-06,
2021-12-24,10.62
2021-12-24,
2022-01-11,16.67
2022-01-12,17.82
2022-01-13,21.97
2022-01-14,23.36
2022-01-15,20.07
2022-01-16,27.3
2022-01-17,21.71
2022-01-18,18.27
2022-01-19,16.27
2022-02-05,3.95
2022-02-06,13.62
2022-02-07,16.09
2022-02-08,18.45
2022-02-09,15.75
2022-03-10,
2022-03-11,
2022-03-11,
2022-03-30,16.67
2022-03-31,23.9
2022-04-01,
2022-04-02,
2022-05-23,11.11
2022-05-24,22.26
2022-05-25,27.97
2022-05-25,7.25
2022-07-23,-7.17
2022-07-24,-4.95
2022-07-24,-9.91
2022-07-26,-2.7
2022-07-26,-0.77
2022-08-29,1.98
2022-08-30,-3.25
2022-08-31,-0.64
2022-09-01,-0.34
2022-09-02,13.04
2022-09-03,3.31
2022-09-06,8.33
2022-09-07,11.33
2022-09-08,15.46
2022-09-09,12.25
